VJcombo	TCR22A.BC1_Reads	TCR22A.BC1_Freq
TRAV12-1.TRAJ54	1	1.70321191703e-07
TRAV2.TRAJ32	1	1.70321191703e-07
TRAV38-2DV8.TRAJ37	2	3.40642383407e-07
TRAV41.TRAJ32	1	1.70321191703e-07
TRAV41.TRAJ31	1	1.70321191703e-07
TRAV38-2DV8.TRAJ34	2	3.40642383407e-07
TRAV8-7.TRAJ15	1	1.70321191703e-07
TRAV30.TRAJ21	2	3.40642383407e-07
TRAV41.TRAJ34	37	6.30188409302e-06
TRAV23DV6.TRAJ47	66	1.12411986524e-05
TRAV41.TRAJ39	10	1.70321191703e-06
TRAV34.TRAJ49	9	1.53289072533e-06
TRAV23DV6.TRAJ43	1	1.70321191703e-07
TRAV38-2DV8.TRAJ39	4622	0.000787224548053
TRAV8-2.TRAJ36	1	1.70321191703e-07
TRAV29DV5.TRAJ54	270	4.59867217599e-05
TRAV29DV5.TRAJ53	275	4.68383277184e-05
TRAV29DV5.TRAJ52	1629	0.000277453221285
TRAV36DV7.TRAJ29	6	1.02192715022e-06
TRAV8-3.TRAJ7	1314	0.000223802045898
TRAV8-3.TRAJ6	3078	0.000524248628063
TRAV8-3.TRAJ5	1	1.70321191703e-07
TRAV8-3.TRAJ4	5	8.51605958517e-07
TRAV12-3.TRAJ37	234	3.98551588586e-05
TRAV27.TRAJ26	1	1.70321191703e-07
TRAV25.TRAJ12	1	1.70321191703e-07
TRAV25.TRAJ11	29	4.9393145594e-06
TRAV25.TRAJ10	10	1.70321191703e-06
TRAV25.TRAJ17	58163	0.00990639147304
TRAV25.TRAJ15	9	1.53289072533e-06
TRAV23DV6.TRAJ15	1	1.70321191703e-07
TRAV38-2DV8.TRAJ42	18687	0.00318279210936
TRAV38-2DV8.TRAJ43	4143	0.000705640697227
TRAV38-2DV8.TRAJ40	1	1.70321191703e-07
TRAV38-2DV8.TRAJ41	4689	0.000798636067897
TRAV38-2DV8.TRAJ47	2	3.40642383407e-07
TRAV38-2DV8.TRAJ44	10126	0.00172467238719
TRAV38-2DV8.TRAJ45	4815	0.000820096538051
TRAV38-2DV8.TRAJ48	3416	0.000581817190859
TRAV38-2DV8.TRAJ49	1636	0.000278645469627
TRAV38-2DV8.TRAJ17	1	1.70321191703e-07
TRAV26-1.TRAJ17	1	1.70321191703e-07
TRAV36DV7.TRAJ8	3	5.1096357511e-07
TRAV20.TRAJ10	2	3.40642383407e-07
TRAV16.TRAJ53	233	3.96848376669e-05
TRAV12-3.TRAJ18	1469	0.000250201830612
TRAV20.TRAJ8	6	1.02192715022e-06
TRAV20.TRAJ9	8	1.36256953363e-06
TRAV20.TRAJ6	16	2.72513906725e-06
TRAV8-4.TRAJ23	122	2.07791853878e-05
TRAV20.TRAJ4	15312	0.00260795808736
TRAV20.TRAJ5	28124	0.00479011319546
TRAV20.TRAJ3	2	3.40642383407e-07
TRAV26-1.TRAJ38	85	1.44773012948e-05
TRAV2.TRAJ30	1	1.70321191703e-07
TRAV16.TRAJ5	1	1.70321191703e-07
TRAV22.TRAJ40	851	0.00014494333414
TRAV22.TRAJ43	1	1.70321191703e-07
TRAV19.TRAJ9	14	2.38449668385e-06
TRAV22.TRAJ45	3276	0.00055797222402
TRAV8-6.TRAJ42	2	3.40642383407e-07
TRAV38-1.TRAJ47	2	3.40642383407e-07
TRAV8-5.TRAJ54	2	3.40642383407e-07
TRAV12-3.TRAJ12	87	1.48179436782e-05
TRAV19.TRAJ4	7	1.19224834192e-06
TRAV8-3.TRAJ44	3	5.1096357511e-07
TRAV36DV7.TRAJ10	12	2.04385430044e-06
TRAV8-3.TRAJ47	218	3.71300197913e-05
TRAV8-3.TRAJ42	22	3.74706621747e-06
TRAV8-3.TRAJ43	1461	0.000248839261079
TRAV39.TRAJ11	2	3.40642383407e-07
TRAV12-3.TRAJ17	3	5.1096357511e-07
TRAV8-3.TRAJ48	1	1.70321191703e-07
TRAV8-3.TRAJ49	1376	0.000234361959784
TRAV12-3.TRAJ30	294	5.00744303608e-05
TRAV19.TRAJ3	21	3.57674502577e-06
TRAV1-1.TRAJ17	117	1.99275794293e-05
TRAV5.TRAJ18	1	1.70321191703e-07
TRAV1-1.TRAJ15	14	2.38449668385e-06
TRAV36DV7.TRAJ21	1	1.70321191703e-07
TRAV3.TRAJ8	2871	0.00048899214138
TRAV1-1.TRAJ10	21645	0.00368660219442
TRAV1-1.TRAJ11	7	1.19224834192e-06
TRAV5.TRAJ12	1	1.70321191703e-07
TRAV5.TRAJ13	5	8.51605958517e-07
TRAV5.TRAJ10	5	8.51605958517e-07
TRAV5.TRAJ11	27460	0.00467701992417
TRAV13-2.TRAJ22	2068	0.000352224224442
TRAV13-2.TRAJ23	275	4.68383277184e-05
TRAV13-2.TRAJ20	3844	0.000654714660908
TRAV5.TRAJ15	13	2.21417549214e-06
TRAV41.TRAJ15	37	6.30188409302e-06
TRAV8-2.TRAJ52	4677	0.000796592213596
TRAV27.TRAJ30	2604	0.000443516383195
TRAV27.TRAJ37	866	0.000147498152015
TRAV27.TRAJ34	15253	0.00259790913705
TRAV8-2.TRAJ58	1	1.70321191703e-07
TRAV26-1.TRAJ43	5	8.51605958517e-07
TRAV41.TRAJ17	2	3.40642383407e-07
TRAV10.TRAJ53	10	1.70321191703e-06
TRAV10.TRAJ52	6	1.02192715022e-06
