VJcombo	Pt108_pre_Reads	Pt108_pre_Freq
TRBV4-3.TRBJ1-4	3	0.000227462279172
TRBV3-1.TRBJ2-1	23	0.00174387747365
TRBV3-1.TRBJ2-3	41	0.00310865114868
TRBV3-1.TRBJ2-2	45	0.00341193418758
TRBV3-1.TRBJ1-6	2	0.000151641519448
TRBV13-1.TRBJ2-4	2	0.000151641519448
TRBV3-1.TRBJ1-4	33	0.00250208507089
TRBV3-1.TRBJ1-5	21	0.0015922359542
TRBV3-1.TRBJ1-2	78	0.00591401925847
TRBV3-1.TRBJ1-3	5	0.00037910379862
TRBV13-1.TRBJ2-3	1	7.5820759724e-05
TRBV13-1.TRBJ2-2	3	0.000227462279172
TRBV13-1.TRBJ1-6	1	7.5820759724e-05
TRBV13-1.TRBJ1-4	2	0.000151641519448
TRBV13-1.TRBJ1-5	2	0.000151641519448
TRBV13-1.TRBJ1-2	4	0.000303283038896
TRBV13-1.TRBJ1-3	2	0.000151641519448
TRBV13-1.TRBJ1-1	3	0.000227462279172
TRBV15-1.TRBJ2-3	22	0.00166805671393
TRBV15-1.TRBJ2-2	1	7.5820759724e-05
TRBV15-1.TRBJ2-1	20	0.00151641519448
TRBV15-1.TRBJ2-7	45	0.00341193418758
TRBV15-1.TRBJ2-6	1	7.5820759724e-05
TRBV15-1.TRBJ2-5	7	0.000530745318068
TRBV15-1.TRBJ2-4	6	0.000454924558344
TRBV10-1.TRBJ1-1	8	0.000606566077792
TRBV10-1.TRBJ1-2	2	0.000151641519448
TRBV10-1.TRBJ1-5	8	0.000606566077792
TRBV10-1.TRBJ1-6	1	7.5820759724e-05
TRBV10-1.TRBJ2-2	20	0.00151641519448
TRBV10-1.TRBJ2-3	5	0.00037910379862
TRBV5-8.TRBJ1-3	1	7.5820759724e-05
TRBV10-1.TRBJ2-1	11	0.000834028356964
TRBV10-1.TRBJ2-6	1	7.5820759724e-05
TRBV10-1.TRBJ2-7	6	0.000454924558344
TRBV10-1.TRBJ2-4	1	7.5820759724e-05
TRBV11-3.TRBJ2-1	17	0.00128895291531
TRBV5-8.TRBJ2-3	4	0.000303283038896
TRBV11-3.TRBJ2-3	7	0.000530745318068
TRBV5-8.TRBJ2-1	18	0.00136477367503
TRBV11-3.TRBJ2-5	4	0.000303283038896
TRBV5-8.TRBJ2-7	4	0.000303283038896
TRBV11-3.TRBJ2-7	8	0.000606566077792
TRBV11-3.TRBJ2-6	6	0.000454924558344
TRBV11-3.TRBJ1-2	3	0.000227462279172
TRBV11-3.TRBJ1-1	18	0.00136477367503
TRBV11-3.TRBJ1-5	1	7.5820759724e-05
TRBV12-2.TRBJ2-3	5	0.00037910379862
TRBV12-2.TRBJ2-2	1	7.5820759724e-05
TRBV5-1.TRBJ1-1	79	0.0059898400182
TRBV5-1.TRBJ1-2	71	0.0053832739404
TRBV5-1.TRBJ1-3	43	0.00326029266813
TRBV5-1.TRBJ1-4	43	0.00326029266813
TRBV5-1.TRBJ1-5	43	0.00326029266813
TRBV5-1.TRBJ1-6	1	7.5820759724e-05
TRBV7-5.TRBJ2-7	1	7.5820759724e-05
TRBV7-5.TRBJ2-1	1	7.5820759724e-05
TRBV3-1.TRBJ2-6	5	0.00037910379862
TRBV5-1.TRBJ2-3	85	0.00644476457654
TRBV5-1.TRBJ2-2	44	0.00333611342786
TRBV5-1.TRBJ2-1	104	0.0078853590113
TRBV5-1.TRBJ2-7	685	0.0519372204109
TRBV5-1.TRBJ2-6	4	0.000303283038896
TRBV5-1.TRBJ2-5	78	0.00591401925847
