VJcombo	EC08_Reads	EC08_Freq
TRBV29-1.TRBJ1-4	38	0.000876343342097
TRBV29-1.TRBJ1-6	8	0.000184493335178
TRBV29-1.TRBJ2-2	79	0.00182187168489
TRBV29-1.TRBJ2-3	111	0.0025598450256
TRBV29-1.TRBJ2-1	131	0.00302107836354
TRBV29-1.TRBJ2-6	20	0.000461233337946
TRBV29-1.TRBJ2-7	216	0.00498132004981
TRBV29-1.TRBJ2-4	34	0.000784096674508
TRBV29-1.TRBJ2-5	103	0.00237535169042
TRBV6-4.TRBJ1-4	6	0.000138370001384
TRBV5-6.TRBJ1-4	34	0.000784096674508
TRBV12-2.TRBJ1-4	1	2.30616668973e-05
TRBV12-2.TRBJ1-5	3	6.91850006919e-05
TRBV12-2.TRBJ1-6	2	4.61233337946e-05
TRBV12-2.TRBJ1-1	4	9.22466675891e-05
TRBV12-2.TRBJ1-2	5	0.000115308334486
TRBV12-2.TRBJ1-3	1	2.30616668973e-05
TRBV15-1.TRBJ1-1	76	0.00175268668419
TRBV15-1.TRBJ1-2	110	0.0025367833587
TRBV15-1.TRBJ1-3	28	0.000645726673124
TRBV15-1.TRBJ1-4	36	0.000830220008302
